label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
1	89 m^2	0.7724	BADMINTON	Natural Language Processing	-0.3638	1.0984 m^3	1719	999	663	Biotechnology	-0.8759	53	1.1532	-0.0309
2	2497 m^2	-1.025	Baseball	Technology and Information Management	-0.3266	0.2113 m^3	503	1522	-501	Natural Language Processing	-0.6186	100	1.1743	0.9234
1	-273 m^2	1.2496	boxing	Natural Language Processing	0.0973	-0.4761 m^3	1080	1713	529	HUMAN COMPUTER INTERACTION	0.454	160	-0.4086	0.6591
3	65 m^2	1.0552	tennis	Games and Playable Media	-0.9837	-0.3593 m^3	197	1018	1255	Statistics	1.6469	-576	-0.839	-1.4706
4	165 m^2	0.6072	motor sports	Data Science	0.1424	-0.1465 m^3	557	95	-1025	Applied Mathematics	0.4349	2286	0.7203	1.353
0	-767 m^2	0.8308	running	Human Computer Interaction, Bioinformatics	-1.5424	1.3622 m^3	-441	1241	745	Games and Playable Media	1.5049	10	1.6042	1.422
3	3055 m^2	-0.169	baseball	Bioengineering	0.7248	1.6347 m^3	596	922	1732	Bioengineering	-0.0972	-126	0.4491	1.0841
1	222 m^2	0.6224	boxing	Natural Language Processing	-2.1763	-0.2741 m^3	812	1182	1167	Biotechnology	1.5668	1401	0.6138	-1.0335
2	-149 m^2	0.1378	volleyball	Technology and Information Management	0.9882	-1.4255 m^3	-71	112	-432	Natural Language Processing	0.4867	1163	1.2054	0.3515
4	-132 m^2	0.7265	motor sports	Data Science	-0.1766	0.7781 m^3	-1526	1194	-90	Applied Mathematics	0.3921	793	1.4605	0.945
1	381 m^2	1.5928	boxing	Applied Mathematics	0.3213	-0.3708 m^3	697	759	1134	Human Computer Interaction	1.404	371	1.2924	-0.8207
0	-628 m^2	1.1018	badminton	Human Computer Interaction, Bioinformatics	0.3284	0.7324 m^3	531	-1273	1594	Games and Playable Media	0.0347	625	1.6942	0.1822
0	-520 m^2	1.4994	running	Robotics Engineering	1.0815	0.8352 m^3	465	1139	323	Games and Playable Media	0.7441	-360	1.0708	-0.4584
4	1140 m^2	1.0672	motor sports	Data Science	1.3195	0.1713 m^3	602	303	261	Applied Mathematics	-0.2313	880	1.1408	1.3717
4	1592 m^2	0.8743	motor sports	DATA SCIENCE	1.2469	1.4663 m^3	-1303	1128	1062	Bioinformatics	0.2849	-57	1.2813	1.9533
6	486 m^2	-1.5934	soccer	Biotechnology	0.5395	0.8246 m^3	-745	1201	-251	Computer Game Design	-0.789	-592	0.3135	1.3155
1	-937 m^2	1.5515	BOXING	Applied Mathematics	-0.2043	0.0203 m^3	1944	966	-794	Human Computer Interaction	0.7749	298	2.2845	-0.4351
2	337 m^2	?	baseball	Technology and Information Management	-0.1188	-0.4325 m^3	1744	-429	187	Natural Language Processing	0.3789	809	1.087	1.1507
2	1563 m^2	1.5088	baseball	Computational Media	0.6104	-1.1725 m^3	None	-387	867	Natural Language Processing	-0.0815	1176	0.5327	1.025
3	1319 m^2	0.7464	track & field	Bioengineering	1.4161	0.1586 m^3	300	-1336	875	Statistics	-0.2869	694	1.2428	-0.2896
3	552 m^2	0.6557	tennis	bIOENGINEERING	1.4854	1.0766 m^3	1088	-1180	395	Statistics	-0.5075	1709	0.2524	-0.3324
4	661 m^2	0.2722	motor sports	Data Science	1.8598	0.5819 m^3	-573	-827	72	bioinformatics	-0.2241	1178	0.3022	0.3453
1	428 m^2	-0.3982	boxing	Applied Mathematics	0.2433	0.2043 m^3	1265	2052	337	Technology and Information Management	0.0295	1106	1.5214	0.3353
1	-452 m^2	0.5419	boxing	Applied Mathematics	0.7626	-0.4489 m^3	742	-1512	856	BIOTECHNOLOGY	1.6091	810	1.1721	-0.5876
2	-311 m^2	-0.1015	baseball	Computational Media	0.8275	0.6634 m^3	-879	-270	211	Natural Language Processing	0.4686	1201	-0.152	0.2214
1	-155 m^2	-0.5138	badminton	Natural Language Processing	0.8595	-0.3433 m^3	193	-354	2024	Human Computer Interaction	1.6375	858	0.0999	-0.6024
1	-294 m^2	0.7086	boxing	Natural Language Processing	-0.3164	-0.0565 m^3	595	486	91	Biotechnology	-0.2305	751	1.043	-0.2183
0	-600 m^2	-0.2203	basketball	Robotics Engineering	0.8624	2.1743 m^3	264	-749	1038	Games and Playable Media	-0.0898	185	1.3364	1.638
1	-81 m^2	0.3373	boxing	Natural Language Processing	-0.5566	-0.2709 m^3	1608	2486	419	Computer Science	-0.5161	-492	-0.3056	-0.8962
0	-589 m^2	1.0108	running	Bioinformatics	1.2329	-1.2623 m^3	285	-29	1196	Games and Playable Media	0.6191	-1098	0.6022	1.031
3	-430 m^2	0.8084	track & field	Games and Playable Media	0.704	0.0333 m^3	316	-860	637	Bioengineering	-0.6407	-1363	0.7437	0.5143
2	960 m^2	0.003	volleyball	Computational Media	0.8705	0.1328 m^3	74	3579	-558	Natural Language Processing	-0.6699	1386	-0.0751	2.8132
1	-43 m^2	1.3436	badminton	Natural Language Processing	0.5047	-0.2738 m^3	-187	1230	-306	Biotechnology	-0.6243	996	0.5738	0.3785
2	880 m^2	-1.2145	baseball	Computational Media	0.6465	-0.1838 m^3	543	1099	-82	Natural Language Processing	0.9648	859	1.4545	1.8008
5	714 m^2	1.1697	golf	COMPUTER GAME DESIGN	1.4757	-0.1765 m^3	143	-646	241	Robotics Engineering	1.1916	-60	-0.5932	1.191
6	3264 m^2	-0.2256	soccer	Computer Science, Electrical Engineering	-0.6263	-0.0486 m^3	67	1373	505	Computer Game Design	-0.7321	-1016	1.0462	-0.7369
1	-1622 m^2	1.0321	badminton	Natural Language Processing	-0.4504	-0.7359 m^3	-1103	298	1496	Human Computer Interaction	0.5438	1898	1.4089	0.2281
1	566 m^2	1.3864	boxing	Natural Language Processing	0.7453	-0.4756 m^3	492	1096	1979	Biotechnology	-0.1177	-284	0.5529	-0.335
